  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.250  -0.9667   0.11253   0.10820   0.0005   1.0000   0.0231
 -16.000  -1.0096   0.09915   0.09458  -0.0077   1.0000   0.0230
 -15.750  -1.0389   0.08931   0.08453  -0.0137   1.0000   0.0229
 -15.500  -1.0622   0.08119   0.07620  -0.0186   1.0000   0.0230
 -15.250  -1.0812   0.07419   0.06899  -0.0227   1.0000   0.0231
 -15.000  -1.0967   0.06806   0.06266  -0.0262   1.0000   0.0233
 -14.750  -1.1094   0.06262   0.05700  -0.0290   1.0000   0.0235
 -14.500  -1.1197   0.05782   0.05198  -0.0313   1.0000   0.0237
 -14.250  -1.1276   0.05355   0.04747  -0.0330   1.0000   0.0241
 -14.000  -1.1323   0.04997   0.04371  -0.0340   1.0000   0.0244
 -13.750  -1.1327   0.04715   0.04081  -0.0345   1.0000   0.0248
 -13.500  -1.1319   0.04462   0.03820  -0.0347   1.0000   0.0252
 -13.250  -1.1301   0.04232   0.03579  -0.0345   1.0000   0.0256
 -13.000  -1.1275   0.04022   0.03357  -0.0340   1.0000   0.0261
 -12.750  -1.1240   0.03828   0.03149  -0.0331   1.0000   0.0267
 -12.500  -1.1194   0.03648   0.02954  -0.0319   1.0000   0.0274
 -12.250  -1.1137   0.03481   0.02770  -0.0305   1.0000   0.0280
 -12.000  -1.1066   0.03329   0.02599  -0.0288   1.0000   0.0287
 -11.750  -1.0996   0.03187   0.02450  -0.0270   1.0000   0.0293
 -11.500  -1.0912   0.03072   0.02330  -0.0250   1.0000   0.0300
 -11.250  -1.0809   0.02971   0.02221  -0.0231   1.0000   0.0309
 -11.000  -1.0677   0.02869   0.02109  -0.0215   1.0000   0.0321
 -10.750  -1.0533   0.02767   0.01994  -0.0200   1.0000   0.0333
 -10.500  -1.0386   0.02662   0.01878  -0.0185   1.0000   0.0344
 -10.250  -1.0236   0.02565   0.01778  -0.0170   1.0000   0.0356
 -10.000  -1.0068   0.02481   0.01689  -0.0157   1.0000   0.0370
  -9.750  -0.9889   0.02402   0.01600  -0.0144   1.0000   0.0387
  -9.500  -0.9710   0.02320   0.01509  -0.0131   1.0000   0.0405
  -9.250  -0.9534   0.02240   0.01427  -0.0118   1.0000   0.0424
  -9.000  -0.9344   0.02170   0.01352  -0.0106   1.0000   0.0445
  -8.750  -0.9146   0.02106   0.01278  -0.0094   1.0000   0.0470
  -8.500  -0.8963   0.02031   0.01204  -0.0080   1.0000   0.0496
  -8.250  -0.8764   0.01972   0.01140  -0.0068   1.0000   0.0528
  -8.000  -0.8566   0.01913   0.01076  -0.0056   1.0000   0.0560
  -7.750  -0.8372   0.01853   0.01017  -0.0043   1.0000   0.0600
